Stock Code,Title,Memo
002860,EGM RESOLUTION,"The Company held its 2nd Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. The Company's eligibility for public issuance of convertible corporate bonds2. Plan for public issuance of convertible corporate bonds2.1. Type of securities to be issued2.2. Issuing scale2.3. Par value and issue price2.4. Bond duration2.5. Interest rate2.6. Time limit and method for repaying the principal and interest2.7. Conversion period2.8. Determination of and adjustment to the conversion price2.9. Provisions on downward adjustment of the conversion price2.10. Determining method for the number of converted shares2.11. Redemption clauses2.12. Resale clauses2.13. Attribution of related dividends for conversion years2.14. Issuing targets and method2.15. Arrangement for placing to original shareholders2.16. Matters regarding the meetings of bondholders2.17. Purpose of the raised funds2.18. Management of the raised funds and the deposit account2.19. Guarantee matters2.20. Rating matters2.21. The valid period of the issuing plan3. Preplan for public issuance of convertible corporate bonds4. Feasibility analysis report on the use of funds to be raised from the public issuance of convertible corporate bonds5. Report on the use of previously raised funds6. Diluted immediate return after the public issuance of convertible corporate bonds, filling measures and relevant commitments7. Formulation of the rules governing the meetings of bondholders' of the Company's convertible bonds8. Full authorization to the board to handle matters regarding the public issuance of convertible corporate bonds9. Connected transaction regarding relevant guarantee for the public issuance of convertible corporate bonds10. Formulation of the shareholder return plan for the next three years from 2022 to 202411. Amendments to the Company's articles of association12. 2022 first-quarter internal control self-evaluation report13. Application for comprehensive credit line to banks14. Provision of guarantee for controlled subsidiaries"
000688,EGM RESOLUTION,"The Company held its 3rd Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. The Company's eligibility for non-public A-share offering2. Plan for 2022 non-public A-share offering2.1. Stock type and par value2.2. Issuing method and date2.3. Issuing targets and subscription method2.4. Pricing base date, pricing principles and issue price2.5. Issuing volume2.6. Lockup period2.7. Listing place2.8. Disposal of accumulated retained profits before the issuance2.9. Amount and purpose of the raised funds2.10. Valid period of the resolution3. Preplan for 2022 non-public A-share offering4. Feasibility analysis report on the use of funds to be raised from the 2022 non-public A-share offering5. Report on the use of previously raised funds6. Diluted immediate return after the 2022 non-public A-share offering, filling measures and commitments of relevant parties7. Shareholder return plan for the next three years from 2022 to 20248. Full authorization to the board to handle matters regarding the 2022 non-public A-share offering"
002806,EGM RESOLUTION,"The Company held its 2nd Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Change of the purpose of raised funds and permanently supplement the working capital2. Change of the Company's business scope and amendments to the Company's articles of association"
002726,EGM RESOLUTION,"The Company held its 4th Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. 2022 estimated deposits in and loans from related banks"
002716,EGM-ONLINE,"The Company will hold the 1st Extraordinary General Meeting of 2022 at 14:50 on 26 August 2022.Meeting agenda:1. Additional business mode of connected transaction with a companyMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 22 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 23 August 2022 to 23 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 26 August 2022Voting code:362716Voting abbreviation:Jingui Silver votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 26 August 2022 to 26 August 2022."
002108,NON-PUBLIC LISTING,The Company's 254.773567 million restricted A-shares via non-public offering will be listed on Shenzhen Stock Exchange as of 10 August 2022.
003022,EGM RESOLUTION,"The Company held its 1st Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Financial support for a controlled subsidiary's investment in construction of a project"
003016,EGM RESOLUTION,"The Company held its 4th Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Repurchase and cancellation of some restricted stocks and adjustment of the repurchase price2. Change of the Company's registered capital and amendments to the Company's articles of association3. By-election of independent directors and adjustment of the members of special committees of the board"
002393,EGM RESOLUTION,"The Company held its 3rd Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Purchase of wealth management products with some proprietary funds"
002151,EGM-ONLINE,"The Company will hold the 2nd Extraordinary General Meeting of 2022 at 13:30 on 26 August 2022.Meeting agenda:1. The Company's eligibility for non-public A-share offering2. Plan for 2022 non-public A-share offering2.1. Stock type and par value2.2. Issuing method and date2.3. Issuing targets and subscription method2.4. Pricing base date, pricing principles and issue price2.5. Issuing volume2.6. Lockup period2.7. Amount and purpose of the raised funds2.8. Arrangement for the accumulated retained profits before the non-public share offering2.9. The valid period of the resolution on the non-public share offering2.10. Listing place3. Preplan for 2022 non-public A-share offering4. Feasibility analysis report on the use of funds to be raised from the 2022 non-public A-share offering5. Report on the use of previously raised funds6. Shareholder return plan for the next three years from 2022 to 20247. Diluted immediate return after 2022 non-public A-share offering, filling measures and commitments of relevant parties8. Full authorization to the board and its authorized persons to handle matters regarding the non-public A-share offering9. Retroactive confirmation of connected transactionsMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 19 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 22 August 2022 to 22 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 26 August 2022Voting code:362151Voting abbreviation:Beijing BDstar Navigation votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 26 August 2022 to 26 August 2022."
002284,EGM RESOLUTION,"The Company held its 1st Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Election of non-independent directors, cumulative voting system applicable1.1. Huang Weizhong1.2. Huang Weichao1.3. Shi Xinglong1.4. Shi Zhengtang1.5. Sun Huadong1.6. Chen Yong2. Election of independent directors, cumulative voting system applicable2.1. Wu Weiming2.2. Zhu Lihong2.3. Dong Xiaomin3. Election of shareholder supervisors, cumulative voting system applicable3.1. Chen Yuchao3.2. Chen Lijuan3.3. Cheng Jinhua"
002669,EGM RESOLUTION,"The Company held its 4th Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Participation in bidding for the equities of a company2. Adjustment of the estimated external guarantee quota3. Application for buyout loans to banks by subsidiaries and provision of guarantee for them"
002709,EGM-ONLINE,"The Company will hold the 4th Extraordinary General Meeting of 2022 at 14:30 on 29 August 2022.Meeting agenda:1. Investment in construction of a project2. 2022 restricted stock incentive plan (draft) and its summary3. Appraisal management measures for the implementation of 2022 restricted stock incentive plan4. Authorization to the board to handle matters regarding 2022 restricted stock incentive planMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 24 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 29 August 2022 to 29 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 29 August 2022Voting code:362709Voting abbreviation:Tinci Materials votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 29 August 2022 to 29 August 2022."
002506,EGM-ONLINE,"The Company will hold the 4th Extraordinary General Meeting of 2022 at 14:00 on 24 August 2022.Meeting agenda:1. Connected transaction regarding change of the implementing method of projects financed with raised funds and introduction of investors for wholly-owned subsidiaries2. A wholly-owned subsidiary's additional guarantee quota for another wholly-owned subsidiaryMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 19 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 22 August 2022 to 22 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 24 August 2022Voting code:362506Voting abbreviation:XXJC votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 24 August 2022 to 24 August 2022."
002485,EGM RESOLUTION,"The Company held its 4th Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. By-election of independent directors"
000034,EGM RESOLUTION,"The Company held its 4th Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Repurchase and cancellation of some restricted stocks"
002550,EGM-ONLINE,"The Company will hold the 1st Extraordinary General Meeting of 2022 at 14:30 on 24 August 2022.Meeting agenda:1. 2022 key employee stock ownership plan (draft) and its summary2. Authorization to the board to handle matters regarding 2022 key employee stock ownership planMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 18 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 19 August 2022 to 23 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 24 August 2022Voting code:362550Voting abbreviation:Qianhong Biopharma votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 24 August 2022 to 24 August 2022."
002202,DIVIDEND IMPLEMENTATION (CASH ONLY),2021 final profit distribution plan to be implemented (A shares):1. Cash dividend/10 shares (tax included): CNY2.500000002. Bonus issue from profit (share/10 shares): none 3. Bonus issue from capital reserve (share/10 shares): none Record date: 12 August 2022Ex-date: 15 August 2022Payment date: 15 August 202210 percent withholding tax on cash dividend will be deducted in CNY within the cash dividend receivable. Please refer to below details:Tax on cash dividend/10 shares: CNY0.25000000(10 percent x CNY2.50000000)Net cash dividend/10 shares after tax: CNY2.25000000(CNY2.50000000- CNY0.25000000)
002221,EGM-ONLINE,"The Company will hold the 4th Extraordinary General Meeting of 2022 at 14:30 on 25 August 2022.Meeting agenda:1. Cancellation of repurchased shares and decrease of the Company's registered capital2. Amendments to the Company's articles of association3. 2022 estimated additional continuing connected transactionsMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 18 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 24 August 2022 to 24 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:362221Voting abbreviation:Oriental Energy votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
002326,EGM RESOLUTION,"The Company held its 1st Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Election of non-independent directors, cumulative voting system applicable1.1. Wang Yingmei1.2. He Kuang1.3. Chen Lijie1.4. Jin Yizhong1.5. Shao Hongming1.6. Wang Lirong2. Election of independent directors, cumulative voting system applicable2.1. Xu Yongbin2.2. Liu Zhiqiang2.3. Zhang Weikun3. Election of non-employee supervisors, cumulative voting system applicable3.1. Zhang Zhengqiu3.2. Zhang Xiaohua"
002111,EGM RESOLUTION,"The Company held its 3rd Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Amendments to the Company's articles of association"
002040,EGM RESOLUTION,"The Company held its 1st Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Reappointment of 2022 audit firm2. Purchase of principal-guaranteed wealth management products from banks with temporarily idle proprietary funds"
002291,EGM-ONLINE,"The Company will hold the 7th Extraordinary General Meeting of 2022 at 14:30 on 24 August 2022.Meeting agenda:1. Adjustment of the implementing methods of projects financed with raised funds2. Provision of guarantee quota for controlled sub-subsidiariesMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 19 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 22 August 2022 to 22 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 24 August 2022Voting code:362291Voting abbreviation:Saturday votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 24 August 2022 to 24 August 2022."
002627,EGM RESOLUTION,"The Company held its 1st Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Cash management with idle raised funds"
000983,EGM-ONLINE,"The Company will hold the 2nd Extraordinary General Meeting of 2022 at 10:00 on 25 August 2022.Meeting agenda:1. Election of non-independent directorsMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 18 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 23 August 2022 to 23 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:360983Voting abbreviation:Shanxi Coking Coal votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
000166,EGM-ONLINE,"The Company will hold the 1st Extraordinary General Meeting of 2022 at 14:30 on 26 August 2022.Meeting agenda:1. Election of Liu Jian as a directorMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 19 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 22 August 2022 to 22 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 26 August 2022Voting code:360166Voting abbreviation:Shenwan Hongyuan votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 26 August 2022 to 26 August 2022."
000671,EGM-ONLINE,"The Company will hold the 5th Extraordinary General Meeting of 2022 at 14:30 on 23 August 2022.Meeting agenda:1. Election of directors2. Election of supervisors3. Amendments to the Company's articles of associationMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 16 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 23 August 2022 to 23 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 23 August 2022Voting code:360671Voting abbreviation:Sunshine City votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 23 August 2022 to 23 August 2022."
001211,DIVIDEND IMPLEMENTATION (CASH ONLY),2021 final profit distribution plan to be implemented (A shares):1. Cash dividend/10 shares (tax included): CNY5.000000002. Bonus issue from profit (share/10 shares): none 3. Bonus issue from capital reserve (share/10 shares): none Record date: 12 August 2022Ex-date: 15 August 2022Payment date: 15 August 202210 percent withholding tax on cash dividend will be deducted in CNY within the cash dividend receivable. Please refer to below details:Tax on cash dividend/10 shares: CNY0.50000000(10 percent x CNY5.00000000)Net cash dividend/10 shares after tax: CNY4.50000000(CNY5.00000000- CNY0.50000000)
000593,EGM RESOLUTION,"The Company held its 3rd Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. By-election of non-independent directors"
000606,EGM CHANGE,"Further to our previous message on 03 August 2022 about the Company's 1st Extraordinary General Meeting of 2022, the Company announced on 09 August 2022 the following changes made with regard to the said meeting:Additional items to be voted: 4. Nomination of Jiang Ping as a non-independent director5. Nomination of Yu Wen as a non-independent director6. Nomination of Yang Shirong as a non-independent director7. Nomination of Zeng Shaojun as a non-independent director11. Nomination of Ding Jianchen as an independent director12. Nomination of Liao Shengzhe as an independent director15. Nomination of Zhu Yadong as a supervisor16. Nomination of Bai Xueying as a supervisorOther information remains unchanged.All the proposals of the meeting are sequenced as follows:1. Nomination of Jiang Hong as a non-independent director2. Nomination of Yang Xiaoyan as a non-independent director3. Nomination of Liu Chunbin as a non-independent director4. Nomination of Jiang Ping as a non-independent director5. Nomination of Yu Wen as a non-independent director6. Nomination of Yang Shirong as a non-independent director7. Nomination of Zeng Shaojun as a non-independent director8. Nomination of Lv Wei as an independent director9. Nomination of Zhang Qi as an independent director10. Nomination of Liu Wei as an independent director11. Nomination of Ding Jianchen as an independent director12. Nomination of Liao Shengzhe as an independent director13. Nomination of Hu Zhengyong as a supervisor14. Nomination of Xu Zhihui as a supervisor15. Nomination of Zhu Yadong as a supervisor16. Nomination of Bai Xueying as a supervisor"
001896,EGM RESOLUTION,"The Company held its 1st Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Change of registered capital and amendments to the Company's articles of association"
000584,EGM RESOLUTION,"The Company held its 2nd Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Supplementary agreement to the agreement on acquisition of 70 percent equities in a company with cash2. Election of independent directors"
001202,EGM RESOLUTION,"The Company held its 4th Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Provision of guarantee for a wholly-owned subsidiary's application for delivery warehouse qualification"
002756,EGM-ONLINE,"The Company will hold the 2nd Extraordinary General Meeting of 2022 at 14:00 on 26 August 2022.Meeting agenda:1. Election of non-independent directors, cumulative voting system applicable1.1. Gao Xingjiang1.2. Qiu Jianrong1.3. Yang Guohua1.4. Zou Weimin1.5. Liu Huafeng1.6. Li Zhengzhou2. Election of independent directors, cumulative voting system applicable2.1. Zhao Min2.2. Cheng Guoguang2.3. Zhang Zhenyue3. Election of non-employee supervisors, cumulative voting system applicable3.1. Shen Huiyu3.2. Xu FagenMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 22 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 24 August 2022 to 24 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 26 August 2022Voting code:362756Voting abbreviation:Yongxing Materials votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 26 August 2022 to 26 August 2022."
000766,RESTRICTED SHARE LISTING-NON-PUBLIC OFFERING(TRADABLE),The Company's 9.3 million restricted A-shares via non-public offering will be listed on the Shenzhen Stock Exchange as of 12 August 2022.
000683,EGM RESOLUTION,"The Company held its 2nd Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. The connected transaction regarding major assets purchase and capital increase is in compliance with relevant laws and regulations2. Plan for the connected transaction regarding major assets purchase and capital increase2.1. Transaction method2.2. Transaction counterparts2.3. Transaction price and pricing basis2.4. Payment method and capital source2.5. Transitional period arrangement2.6. Performance commitments and compensation2.7. Impairment test and compensation2.8. Implementation of compensation measures2.9. Arrangement or plan for the remaining equity of the underlying companies2.10. The valid period of the resolution on the transaction3. The transaction constitutes a major assets restructuring4. The transaction constitutes a connected transaction5. Report (2nd revised draft) on the connected transaction regarding major assets purchase and capital increase and its summary6. Conditional agreements related to the connected transaction regarding major assets purchase and capital increase to be signed7. Signing the performance commitments and compensation agreement on independent capital increase in a company by the Company and the performance commitments and compensation agreement on transfer of equities in the said company by another company8. The transaction is in compliance with Articles 4 of the Provisions on Several Issues Concerning the Regulation of Major Assets Restructuring of Listed Companies9. The transaction is in compliance with Article 11 of the Management Measures on Major Assets Restructuring of Listed Companies10. The transaction does not constitute a listing by restructuring as defined by Article 13 in the Management Measures on Major Assets Restructuring of Listed Companies11. The relevant parties under the transaction are qualified to participate in the major assets restructuring according to Article 13 of the Temporary Regulations on Enhancing Supervision on Unusual Stock Trading Related to Major Assets Restructuring of Listed Companies12. Diluted immediate return after the transaction, filling measures and commitments of relevant parties13. Statement on assets purchase and sale within 12 months prior to the transaction14. Change of the purpose of the raised funds from terminated projects financed with raised funds15. Full authorization to the board to handle matters regarding the transaction"
000901,EGM RESOLUTION,"The Company held its 3rd Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Connected transaction regarding signing the cooperation framework agreement on product development and test2. Amendments to the external donation management measures3. Amendments to the connected transactions management measures4. Amendments to the Company's rules of procedure governing shareholders' general meetings5. Amendments to the Company's rules of procedure governing the board meetings6. Amendments to the Company's rules of procedure governing meetings of the supervisory committee"
000540,EGM-ONLINE,"The Company will hold the 1st Extraordinary General Meeting of 2022 at 14:00 on 24 August 2022.Meeting agenda:1. Election of non-independent directors, cumulative voting system applicable1.1. Luo Yuping1.2. Shi Weiguo1.3. Tan Zhongyou1.4. Lin Wenjing2. Election of independent directors, cumulative voting system applicable2.1. Zhang Zhikang2.2. Zhong Tao3. Election of non-employee supervisors, cumulative voting system applicable3.1. Li Bingjun3.2. He Yaoqiu4. Amendments to the Company's articles of association5. Amendments to the Company's rules of procedure governing the board meetingsMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 19 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 22 August 2022 to 22 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 24 August 2022Voting code:360540Voting abbreviation:Zhongtian Financial votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 24 August 2022 to 24 August 2022."
000652,EGM RESOLUTION,"The Company held its 4th Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Amendments to the Company's articles of association2. Amendments to the Company's rules of procedure governing shareholders' general meetings3. Amendments to the Company's rules of procedure governing the board meetings4. Amendments to the Company's rules of procedure governing meetings of the supervisory committee5. By-election of non-independent directors, cumulative voting system applicable5.1. Jia Jinping5.2. Guan Xuebin5.3. Sun Guoqiang"
301338,IPO RESULTS,The Company's IPO results announcement has been disclosed recently.
301192,SWITCHING BOARD LISTING,The Company's 24975000 million shares (code:301192) OFswitching board listing will be listed and tradable on the Shenzhen Stock Exchange on 11 August 2022.
300630,SHARE REPURCHASE,"As of 08 August 2022, the Company has repurchased 1806223 public shares, accounting for 0.41 percent of the Company's total capital stock. The highest repurchase price was CNY33.17 per share and the lowest was CNY24.23 per share."
300542,EGM RESOLUTION,"The Company held its 1st Extraordinary General Meeting of 2022 on 09 August 2022, during which the following proposal(s) was/were approved:1. Purchase of liability insurance for directors, supervisors and senior managers"
300909,EGM-ONLINE,"The Company will hold the 3rd Extraordinary General Meeting of 2022 at 14:30 on 25 August 2022.Meeting agenda:1. Participation in bidding for the use right of state-owned land by a wholly-owned subsidiaryMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 19 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 23 August 2022 to 23 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:365909Voting abbreviation:Hui Chuang Da votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
300415,EGM RESOLUTION,"The Company held its 2nd Extraordinary General Meeting of 2022 on 09 August 2022, during which the following proposal(s) was/were approved:1. By-election of non-independent directors"
